"","dz_2014_strat_0","dz_2014_strat_1","dz_2014_strat_2.5","dz_2014_strat_5","dz_2014_strat_11","dz_2014_strat_15","dz_2014_strat_17","dz_2014_unstrat_0","dz_2014_unstrat_1","dz_2014_unstrat_2.5","dz_2014_unstrat_5","dz_2014_unstrat_11","dz_2014_unstrat_15","dz_2014_unstrat_17","dz_2015_strat_0","dz_2015_strat_1","dz_2015_strat_2.5","dz_2015_strat_5","dz_2015_strat_11","dz_2015_strat_15","dz_2015_strat_17","dz_2015_unstrat_0.25","dz_2015_unstrat_1","dz_2015_unstrat_2.5","dz_2015_unstrat_5","dz_2015_unstrat_11","dz_2015_unstrat_15","dz_2015_unstrat_17","taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species"
"Bac_OTU_1",111847,117061,101286,39394,31318,8737,7091,110687,108021,107398,106683,107725,30751,19640,90285,87029,63787,27302,57086,11266,13825,88707,81401,84529,79311,75443,86225,21165,"Bacteria; Cyanobacteria; Cyanobacteria; SubsectionIII; FamilyI; Arthrospira; Multi-affiliation","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Arthrospira","Multi-affiliation"
"Bac_OTU_3",173,67,3555,14173,16848,29029,53227,3126,4527,4628,5235,3543,27182,39212,147,137,6141,11403,7413,16851,15064,3219,2984,3611,4450,4871,3756,13294,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_4",127,23,2113,5778,4713,5134,7448,1010,1302,1242,1709,1447,21539,11101,143,122,7423,11687,6204,14022,12477,408,363,344,393,437,338,14818,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_5",249,110,3687,24516,32870,25658,5749,310,380,375,401,328,1331,10305,579,448,1436,3576,2440,2803,1262,2680,2526,2941,3848,3547,2510,1554,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_6",8,2,423,771,874,971,1002,281,172,223,341,349,2149,1137,119,87,5591,8606,6023,13510,13749,403,355,423,299,428,347,10284,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_7",1967,740,111,11,11,7,1,524,417,408,503,635,37,9,3992,4135,196,88,26,18,6,4838,6977,5233,5085,5514,4228,218,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_8",27,10,579,995,1121,2773,3723,404,317,384,481,355,2829,3798,94,52,3173,4955,3314,4823,4894,1190,1336,1094,1336,1757,1371,3125,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_9",23,1,462,1790,1253,1635,1978,186,267,315,282,240,5702,2878,68,24,2404,3889,1974,4612,3840,154,183,172,196,194,174,6463,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_10",8,6,1069,2021,3974,7163,7900,6,12,4,15,21,4608,4288,72,32,2715,3788,5283,4221,1557,27,28,31,26,50,34,1969,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Candidatus Contubernalis; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","CandidatusContubernalis","unknownspecies"
"Bac_OTU_11",151,88,489,2160,1981,1524,743,119,158,148,234,97,188,753,246,346,1720,3015,1594,1336,338,2416,2128,2383,3121,3593,3028,139,"Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Lentimicrobiaceae; unknown genus; unknown species","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Lentimicrobiaceae","unknowngenus","unknownspecies"
"Bac_OTU_13",1,0,209,782,735,335,246,118,125,168,199,159,2639,246,24,21,1288,2274,1459,4227,5010,95,86,99,62,107,89,7053,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
